TIMESTAMP    TEMP  ARM_FREQ
588          42.0      1500
589          41.0      1500
590          41.0      1500
591          42.0      1500
592          41.0      1500
593          42.0      1500
594          41.0      1500
595          41.0      1500
596          42.0      1500
597          41.0      1500
598          41.0      1500
599          40.0      1500
600          42.0      1500
601          41.0      1500
602          42.0      1500
603          41.0      1500
604          41.0      1500
605          43.0      1500
606          43.0      1500
607          41.0      1500
608          42.0      1500
609          41.0      1500
610          42.0      1500
611          41.0      1500
612          41.0      1500
613          43.0      1500
614          42.0      1500
615          41.0      1500
616          41.0      1500
617          41.0      1500
618          41.0      1500
619          42.0      1500
620          43.0      1500
621          42.0      1500
622          42.0      1500
623          41.0      1500
624          40.0      1500
625          41.0      1500
626          41.0      1500
627          41.0      1500
628          42.0      1500
629          41.0      1500
630          42.0      1500
631          42.0      1500
632          41.0      1500
633          43.0      1500
634          41.0      1500
635          41.0      1500
636          41.0      1500
637          42.0      1500
638          41.0      1500
639          42.0      1500
640          43.0      1500
641          41.0      1500
642          41.0      1500
643          42.0      1500
644          42.0      1500
645          42.0      1500
646          41.0      1500
647          43.0      1500
648          42.0      1500
649          41.0      1500
650          42.0      1500
651          43.0      1500
652          42.0      1500
653          42.0      1500
654          41.0      1500
655          42.0      1500
656          42.0      1500
657          42.0      1500
658          42.0      1500
659          42.0      1500
660          42.0      1500
661          43.0      1500
662          42.0      1500
663          43.0      1500
664          43.0      1500
665          43.0      1500
666          43.0      1500
667          41.0      1500
668          42.0      1500
669          43.0      1500
670          42.0      1500
671          43.0      1500
672          42.0      1500
673          42.0      1500
674          42.0      1500
675          42.0      1500
676          42.0      1500
677          42.0      1500
678          41.0      1500
679          42.0      1500
680          42.0      1500
681          42.0      1500
682          42.0      1500
683          43.0      1500
684          42.0      1500
685          42.0      1500
686          42.0      1500
687          42.0      1500
688          42.0      1500
689          42.0      1500
690          43.0      1500
691          42.0      1500
692          42.0      1500
693          43.0      1500
694          42.0      1500
695          43.0      1500
696          42.0      1500
697          43.0      1500
698          42.0      1500
699          42.0      1500
700          42.0      1500
701          43.0      1500
702          42.0      1500
703          42.0      1500
704          42.0      1500
705          42.0      1500
706          42.0      1500
707          41.0      1500
708          43.0      1500
709          42.0      1500
710          42.0      1500
711          43.0      1500
712          42.0      1500
713          42.0      1500
714          42.0      1500
715          43.0      1500
716          42.0      1500
717          43.0      1500
718          42.0      1500
719          42.0      1500
720          43.0      1500
721          43.0      1500
722          43.0      1500
723          43.0      1500
724          42.0      1500
725          42.0      1500
726          43.0      1500
727          42.0      1500
728          41.0      1500
729          43.0      1500
730          42.0      1500
731          43.0      1500
732          42.0      1500
733          42.0      1500
734          42.0      1500
735          42.0      1500
736          41.0      1500
737          42.0      1500
738          42.0      1500
739          42.0      1500
740          42.0      1500
741          44.0      1500
742          42.0      1500
743          42.0      1500
744          42.0      1500
745          42.0      1500
746          42.0      1500
747          42.0      1500
748          42.0      1500
749          43.0      1500
750          43.0      1500
751          43.0      1500
752          42.0      1500
753          42.0      1500
754          42.0      1500
755          42.0      1500
756          42.0      1500
757          42.0      1500
758          42.0      1500
759          42.0      1500
760          43.0      1500
761          42.0      1500
762          43.0      1500
763          41.0      1500
764          42.0      1500
765          42.0      1500
766          41.0      1500
767          42.0      1500
768          43.0      1500
769          43.0      1500
770          43.0      1500
771          42.0      1500
772          42.0      1500
773          42.0      1500
774          43.0      1500
775          42.0      1500
776          43.0      1500
777          43.0      1500
778          42.0      1500
779          41.0      1500
780          43.0      1500
781          42.0      1500
782          43.0      1500
783          43.0      1500
784          43.0      1500
785          43.0      1500
786          42.0      1500
787          43.0      1500
788          43.0      1500
789          42.0      1500
790          42.0      1500
791          42.0      1500
792          42.0      1500
793          42.0      1500
794          42.0      1500
795          44.0      1500
796          44.0      1500
797          43.0      1500
798          43.0      1500
799          43.0      1500
800          44.0      1500
801          43.0      1500
802          42.0      1500
803          43.0      1500
804          43.0      1500
805          43.0      1500
806          43.0      1500
807          43.0      1500
808          43.0      1500
809          43.0      1500
810          43.0      1500
811          42.0      1500
812          42.0      1500
813          43.0      1500
814          42.0      1500
815          43.0      1500
816          43.0      1500
817          43.0      1500
818          43.0      1500
819          42.0      1500
820          43.0      1500
821          42.0      1500
822          42.0      1500
823          43.0       600
824          43.0       600
825          43.0      1500
826          43.0      1500
827          42.0      1500
828          43.0      1500
829          42.0      1500
830          43.0      1500
831          44.0      1500
832          43.0      1500
833          42.0      1500
834          43.0      1500
835          42.0      1500
836          43.0      1500
837          43.0      1500
838          43.0      1500
839          43.0      1500
840          43.0      1500
841          42.0      1500
842          41.0       600
